taxon,date
hDenV1_Colombia_NSA-UIS-00014_2006_EPI_ISL_17572874_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00015_2006_EPI_ISL_17572878_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00013_2006_EPI_ISL_17572880_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00012_2005_EPI_ISL_17572858_2005,2005.5000
hDenV1_Colombia_NSA-UIS-00005_2006_EPI_ISL_17572891_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00009_2006_EPI_ISL_17572859_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00007_2006_EPI_ISL_17572860_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00010_2006_EPI_ISL_17572861_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00008_2006_EPI_ISL_17572863_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00006_2006_EPI_ISL_17572890_2006,2006.5000
hDenV1_Colombia_SAN-UIS-00004_2008_EPI_ISL_17572892_2008,2008.5000
hDenV1_Colombia_un-OUCRU-0000090_2012_EPI_ISL_17439406_2012,2012.5000
hDenV1_Colombia_un-OUCRU-0000095_2012_EPI_ISL_17439411_2012,2012.5000
hDenV1_Colombia_SAN-UIS-0000041_2010_EPI_ISL_17434686_2010,2010.5000
hDenV1_Colombia_SAN-UIS-00027_2008_EPI_ISL_17572867_2008,2008.5000
hDenV1_Colombia_SAN-UIS-00028_2007_EPI_ISL_17572868_2007,2007.5000
hDenV1_Colombia_SAN-UIS-00026_2007_EPI_ISL_17572875_2007,2007.5000
hDenV1_Colombia_SAN-UIS-00024_2008_EPI_ISL_17572876_2008,2008.5000
hDenV1_Colombia_SAN-UIS-00023_2008_EPI_ISL_17572905_2008,2008.5000
hDenV1_Colombia_SAN-UIS-00016_2007_EPI_ISL_17572879_2007,2007.5000
hDenV1_Colombia_SAN-UIS-00025_2007_EPI_ISL_17572886_2007,2007.5000
